"doi","period","issn","ut"
"10.1007/s10494-017-9843-9","2017","1386-6184","416838200020"
"10.1007/s13194-015-0134-9","2016","1879-4912","368733400008"
"10.1007/s12024-016-9777-x","2016","1547-769X","380720700006"
"10.1007/s12024-016-9776-y","2016","1547-769X","390036400008"
"10.1007/s12024-017-9884-3","2017","1547-769X","407677100007"
"10.1007/s11187-015-9685-6","2016","0921-898X","368738300002"
"10.1007/s10649-016-9716-5","2017","0013-1954","391428400005"
"10.1007/s10443-016-9489-0","2016","0929-189X","380664100018"
"10.1007/s10443-016-9475-6","2016","0929-189X","380664100004"
"10.1007/s12192-017-0800-2","2017","1355-8145","408618700007"
"10.1007/s10616-015-9858-9","2016","0920-9069","380265300041"
"10.1007/s10616-015-9905-6","2016","0920-9069","380265300079"
"10.1007/s10646-017-1770-y","2017","0963-9292","399817400009"
"10.1007/s10734-016-0010-3","2017","0018-1560","396145100005"
"10.1007/s10734-017-0116-2","2017","0018-1560","401427600006"
"10.1007/s10734-016-0049-1","2017","0018-1560","404606200006"
"10.1007/s10992-016-9403-0","2017","0022-3611","401568300005"
"10.1007/s11214-016-0272-1","2017","0038-6308","404631800021"
"10.1007/s10886-016-0773-0","2016","0098-0331","388807500014"
"10.1007/s10971-017-4497-6","2017","0928-0707","415951500013"
"10.1007/s10712-017-9409-3","2017","0169-3298","399095900001"
"10.1007/s10712-016-9406-y","2017","0169-3298","399095900002"
"10.1007/s11166-017-9258-y","2017","0895-5646","404179100003"
"10.1007/s10838-015-9322-8","2016","0925-4560","374839100007"
"10.1007/s10838-015-9319-3","2016","0925-4560","374839100010"
"10.1007/s10838-017-9379-7","2017","0925-4560","412971800006"
"10.1007/s10838-016-9358-4","2017","0925-4560","403472000006"
"10.1007/s10457-016-9961-8","2017","0167-4366","403472600017"
"10.1007/s11071-017-3428-y","2017","0924-090X","402399500048"
"10.1007/s11212-016-9252-y","2016","0925-9392","380135400003"
"10.1007/s10887-016-9136-5","2017","1381-4338","394162700003"
"10.1007/s10531-016-1095-9","2016","0960-3115","374564100001"
"10.1007/s10531-017-1375-z","2017","0960-3115","412139000012"
"10.1007/s10531-016-1272-x","2017","0960-3115","398111000001"
"10.1007/s10722-016-0476-y","2017","0925-9864","414475300007"
"10.1007/s11123-015-0461-z","2016","0895-562X","369916200003"
"10.1007/s10811-017-1188-1","2017","0921-8971","416446400016"
"10.1007/s11245-015-9350-3","2017","0167-7411","409308300009"
"10.1007/s11245-015-9339-y","2017","0167-7411","409308300013"
"10.1007/s10452-015-9555-y","2016","1386-2588","375439800006"
"10.1007/s10758-016-9284-x","2017","2211-1662","396611700003"
"10.1007/s13280-016-0800-y","2017","0044-7447","392285300003"
"10.1007/s13280-017-0922-x","2017","0044-7447","411967700004"
