"doi","period","issn","ut"
"10.1007/s11042-017-4870-z","2017","1380-7501","412748200021"
"10.1007/s10548-017-0568-9","2017","0896-0267","404750300001"
"10.1007/s11191-016-9860-4","2016","0926-7220","397064100002"
"10.1007/s10824-016-9272-y","2017","0885-2545","414074200002"
"10.1007/s10544-017-0152-9","2017","1387-2176","394970800009"
"10.1007/s11214-015-0178-3","2017","0038-6308","409249500009"
"10.1007/s10712-015-9343-1","2016","0169-3298","372273400002"
"10.1007/s12035-015-9205-3","2016","0893-7648","377935400028"
"10.1007/s12035-016-0329-x","2017","0893-7648","415341900073"
"10.1007/s11120-016-0219-0","2016","0166-8595","374593600009"
"10.1007/s10856-015-5656-3","2016","0957-4530","368728100021"
"10.1007/s10633-016-9557-7","2016","0012-4486","385252000001"
"10.1007/s10680-015-9362-0","2016","0168-6577","376592100004"
"10.1007/s10661-017-6179-9","2017","0167-6369","410476500040"
"10.1007/s00704-015-1658-9","2017","0177-798X","393667700012"
"10.1007/s00401-016-1633-2","2017","0001-6322","392134900007"
"10.1007/s00401-017-1706-x","2017","0001-6322","403235900002"
"10.1007/s00418-016-1457-0","2016","0948-6143","385169600012"
"10.1007/s00418-015-1399-y","2016","0948-6143","375070400003"
"10.3758/s13423-016-1104-8","2017","1069-9384","399307100009"
"10.1007/s00109-016-1447-7","2016","0946-2716","390029900008"
"10.1007/s00420-015-1097-z","2016","0340-0131","374168900006"
"10.1007/s00441-016-2566-8","2017","0302-766X","395511300013"
"10.1007/s00122-015-2621-y","2016","0040-5752","368116200016"
"10.1007/s00210-016-1270-2","2016","0028-1298","381404000008"
"10.1140/epje/i2016-16032-7","2016","1292-8941","375267700003"
"10.1140/epje/i2016-16105-7","2016","1292-8941","398633300001"
"10.1007/s00347-016-0224-x","2016","0941-293X","380044400007"
"10.1007/s00113-017-0426-y","2017","0177-5537","415816700006"
"10.1007/s40618-016-0544-3","2016","1720-8386","386601500016"
"10.1007/s00424-016-1836-3","2016","0031-6768","380241000009"
"10.1007/s00424-016-1917-3","2017","0031-6768","391373900014"
"10.1007/s00424-017-1964-4","2017","0031-6768","401865900002"
"10.1007/s00382-016-3476-x","2017","0930-7575","410803300036"
"10.1007/s00292-016-0223-3","2016","0172-8113","382692200003"
"10.1007/s00292-016-0179-3","2016","0172-8113","382692900012"
"10.1007/s00292-016-0259-4","2017","0172-8113","397576900003"
"10.1007/s11825-017-0134-6","2017","1863-5490","407263300002"
"10.1007/s00417-016-3580-y","2017","0721-832X","394986600001"
"10.1007/s11060-016-2362-z","2017","0167-594X","399015500006"
"10.1007/s11242-016-0654-6","2016","0169-3913","382094800009"
"10.1007/s11242-015-0599-1","2016","0169-3913","382094800016"
"10.1007/s00464-016-5342-7","2017","0930-2794","409037100013"
"10.1007/s00430-016-0449-y","2016","0300-8584","379699400004"
"10.1007/s10640-016-9997-2","2017","0924-6460","403982200009"
"10.1007/s00259-016-3307-7","2016","1619-7070","376246200002"
"10.1007/s12571-017-0716-9","2017","1876-4517","414999200006"
"10.1007/s00432-017-2490-7","2017","0171-5216","412898700024"
"10.1007/s00247-016-3599-6","2016","0301-0449","380047700012"
"10.1007/s00106-016-0267-y","2017","0017-6192","407589100006"
"10.1007/s10096-016-2833-3","2017","0934-9723","394353500020"
"10.1007/s00339-017-1337-z","2017","0947-8396","416484200066"
"10.1208/s12248-017-0146-9","2017","1550-7416","415057700002"
"10.1007/s00431-016-2816-5","2017","0340-6199","392308900003"
"10.1007/s10049-016-0236-8","2016","1434-6222","389409500005"
"10.1007/s00125-016-3990-8","2016","0012-186X","379158800024"
"10.1007/s00103-017-2583-0","2017","1436-9990","404233300001"
"10.1007/s00103-017-2558-1","2017","1436-9990","404233300011"
"10.1007/s00294-016-0610-6","2017","0172-8083","397194500002"
"10.1007/s00439-016-1753-8","2017","0340-6717","393822400001"
"10.1007/s00425-015-2397-y","2016","0032-0935","367614800005"
"10.1007/s00359-016-1103-2","2016","0340-7594","381080100002"
"10.1007/s00103-016-2459-8","2016","1436-9990","388970700007"
"10.1007/s00338-016-1450-z","2016","0722-4028","382019400013"
"10.1007/s10936-016-9466-7","2017","0090-6905","405527700001"
"10.1007/s00018-016-2350-7","2017","1420-682X","393024800002"
"10.1007/s00015-016-0241-4","2017","1661-8726","399173200012"
"10.1007/s10940-015-9267-4","2016","0748-4518","387923300004"
"10.1007/s00003-017-1124-y","2017","1661-5751","415266900001"
"10.1007/s00003-017-1118-9","2017","1661-5751","409920500005"
"10.1007/s00003-016-1060-2","2017","1661-5751","416312800003"
"10.1007/s10113-016-0927-1","2017","1436-3798","402137900015"
